Agency,Region,Year,Stops,Indexed
Bolivar Police Dept,Southwest,2024,71,118.3
Branson Police Dept,Southwest,2014,249,100.0
Branson Police Dept,Southwest,2015,189,75.9
Branson Police Dept,Southwest,2016,97,39.0
Branson Police Dept,Southwest,2017,141,56.6
Branson Police Dept,Southwest,2018,122,49.0
Branson Police Dept,Southwest,2019,171,68.7
Branson Police Dept,Southwest,2020,129,51.8
Branson Police Dept,Southwest,2021,100,40.2
Branson Police Dept,Southwest,2022,196,78.7
Branson Police Dept,Southwest,2023,255,102.4
Branson Police Dept,Southwest,2024,371,149.0
Branson West Police Dept,Southwest,2014,22,100.0
Branson West Police Dept,Southwest,2015,24,109.1
Branson West Police Dept,Southwest,2016,31,140.9
Branson West Police Dept,Southwest,2017,25,113.6
Branson West Police Dept,Southwest,2018,23,104.5
Branson West Police Dept,Southwest,2019,24,109.1
Branson West Police Dept,Southwest,2020,35,159.1
Branson West Police Dept,Southwest,2021,42,190.9
Branson West Police Dept,Southwest,2022,47,213.6
Branson West Police Dept,Southwest,2023,40,181.8
Branson West Police Dept,Southwest,2024,42,190.9
Cabool Police Dept,Southwest,2014,12,100.0
Cabool Police Dept,Southwest,2015,8,66.7
Cabool Police Dept,Southwest,2016,9,75.0
Cabool Police Dept,Southwest,2017,16,133.3
Cabool Police Dept,Southwest,2018,22,183.3
Cabool Police Dept,Southwest,2019,21,175.0
Cabool Police Dept,Southwest,2020,8,66.7
Cabool Police Dept,Southwest,2021,13,108.3
Cabool Police Dept,Southwest,2022,19,158.3
Cabool Police Dept,Southwest,2023,33,275.0
Cabool Police Dept,Southwest,2024,28,233.3
Carl Junction Police Dept,Southwest,2014,37,100.0
Carl Junction Police Dept,Southwest,2015,29,78.4
Carl Junction Police Dept,Southwest,2016,40,108.1
Carl Junction Police Dept,Southwest,2017,27,73.0
Carl Junction Police Dept,Southwest,2018,36,97.3
Carl Junction Police Dept,Southwest,2019,24,64.9
Carl Junction Police Dept,Southwest,2020,31,83.8
Carl Junction Police Dept,Southwest,2021,17,45.9
Carl Junction Police Dept,Southwest,2022,22,59.5
Carl Junction Police Dept,Southwest,2023,11,29.7
Carl Junction Police Dept,Southwest,2024,6,16.2
Carterville Police Dept,Southwest,2014,46,100.0
Carterville Police Dept,Southwest,2015,69,150.0
Carterville Police Dept,Southwest,2016,41,89.1
Carterville Police Dept,Southwest,2017,94,204.3
Carterville Police Dept,Southwest,2018,74,160.9
Carterville Police Dept,Southwest,2019,126,273.9
Carterville Police Dept,Southwest,2020,57,123.9
Carterville Police Dept,Southwest,2021,32,69.6
Carterville Police Dept,Southwest,2022,59,128.3
Carterville Police Dept,Southwest,2023,42,91.3
